case_id,candidate_path,current_status,after_reference_cleanup_status,deletion_allowed_in_future_execution,required_precondition,risk_level,notes
PERF_0006,"cases/PERF/PERF_0006/sql/positives/; cases/PERF/PERF_0006/sql/negatives/",blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/checker/metadata/validation/dev-script refs updated; direct SQL paths validate.",low,"Duplicate compatibility SQL only."
PERF_0006,cases/PERF/PERF_0006/notes/,blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/README/validation refs updated to external evidence notes; external notes still present.",low,"Copied notes already exist under evidence/cases/."
PERF_0006,cases/PERF/PERF_0006/runs/,blocked_by_live_refs,deletion_ready_after_retention_mapping,false,"Retained-runs mapping preserved; manifest/README/script refs updated; explicit runs cleanup approval.",low,"Placeholder-only but governed by retained-runs policy."
PERF_0007,"cases/PERF/PERF_0007/sql/positives/; cases/PERF/PERF_0007/sql/negatives/",blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/checker/metadata/validation/dev-script refs updated; direct SQL paths validate.",low,"Duplicate compatibility SQL only."
PERF_0007,cases/PERF/PERF_0007/notes/,blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/README/validation refs updated to external evidence notes; external notes still present.",low,"Copied notes already exist under evidence/cases/."
PERF_0007,cases/PERF/PERF_0007/runs/,blocked_by_live_refs,deletion_ready_after_retention_mapping,false,"Retained-runs mapping preserved; manifest/README/script refs updated; explicit runs cleanup approval.",low,"Placeholder-only but governed by retained-runs policy."
CONS_0005,"cases/CONS/CONS_0005/sql/positives/; cases/CONS/CONS_0005/sql/negatives/",blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/checker/metadata/validation/dev-script refs updated; direct SQL paths validate.",low,"Duplicate compatibility SQL only."
CONS_0005,cases/CONS/CONS_0005/notes/,blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/README refs updated to external evidence notes; external notes still present.",low,"Copied notes already exist under evidence/cases/."
CONS_0005,cases/CONS/CONS_0005/runs/,blocked_by_live_refs,deletion_ready_after_retention_mapping,false,"Retained-runs mapping preserved; manifest/README/script refs updated; explicit runs cleanup approval.",low,"Placeholder-only but governed by retained-runs policy."
PORT_0003,"cases/PORT/PORT_0003/sql/positives/; cases/PORT/PORT_0003/sql/negatives/",blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/checker/dev-script refs updated; direct SQL paths validate; dialect variants untouched.",low,"PORT dialect variant cleanup remains out of scope."
PORT_0003,cases/PORT/PORT_0003/notes/,blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/README/metadata refs updated to external evidence notes; external notes still present.",low,"Copied notes already exist under evidence/cases/."
PORT_0003,cases/PORT/PORT_0003/runs/,blocked_by_live_refs,deletion_ready_after_retention_mapping,false,"Retained-runs mapping preserved; manifest/README/script refs updated; explicit runs cleanup approval.",medium,"PORT retained mapping includes private/archive-sensitive Spark plan references; do not delete retained evidence."
LONGTAIL_0011,"cases/LONGTAIL/LONGTAIL_0011/sql/positives/; cases/LONGTAIL/LONGTAIL_0011/sql/negatives/",blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/checker/validation/dev-script refs updated; direct SQL paths validate.",low,"Duplicate compatibility SQL only."
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/notes/,blocked_by_live_refs,deletion_ready_after_reference_update,true,"Manifest/README refs updated to external evidence notes; external notes still present.",low,"Copied notes already exist under evidence/cases/."
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/runs/,blocked_by_live_refs,deletion_ready_after_retention_mapping,false,"Retained-runs mapping preserved; manifest/README/script refs updated; explicit runs cleanup approval.",low,"Placeholder-only but governed by retained-runs policy."
