engine,case_id,pool,diagnostic_role_class,failure_bucket,failure_class,evidence_summary,likely_cause,recommended_action
postgres,PORT_0004,PORT,PORT real-adapter cross-dialect row,adapter_failed,SQLGlot parse/emit failure,Adapter stderr: SQLGlot parse failed Expected END after CASE; candidate not generated,PostgreSQL-route SQLGlot noop could not parse MySQL-like PORT SQL with CASE/backticks,Keep fail-visible; authorize SQLGlot PORT route/dialect triage if desired
postgres,PORT_0013,PORT,PORT real-adapter cross-dialect row,adapter_failed,SQLGlot parse/emit failure,Adapter stderr: SQLGlot parse failed Expecting right parenthesis; candidate not generated,PostgreSQL-route SQLGlot noop could not parse boolean aggregate/backtick PORT SQL,Keep fail-visible; authorize SQLGlot PORT route/dialect triage if desired
postgres,PORT_0022,PORT,PORT real-adapter cross-dialect row,adapter_failed,SQLGlot parse/emit failure,Adapter stderr: SQLGlot parse failed Expecting right parenthesis; candidate not generated,PostgreSQL-route SQLGlot noop could not parse MySQL-like CAST/identifier syntax,Keep fail-visible; authorize SQLGlot PORT route/dialect triage if desired
postgres,PORT_0024,PORT,PORT real-adapter cross-dialect row,adapter_failed,SQLGlot parse/emit failure,Adapter stderr: SQLGlot parse failed Expected END after CASE; candidate not generated,PostgreSQL-route SQLGlot noop could not parse MySQL-like CASE/backtick syntax,Keep fail-visible; authorize SQLGlot PORT route/dialect triage if desired
postgres,PORT_0025,PORT,PORT real-adapter cross-dialect row,adapter_failed,SQLGlot parse/emit failure,Adapter stderr: SQLGlot parse failed Invalid expression / Unexpected token near backtick-qualified alias,PostgreSQL-route SQLGlot noop could not parse mixed quoted identifier syntax,Keep fail-visible; authorize SQLGlot PORT route/dialect triage if desired
mysql,PORT_0008,PORT,PORT real-adapter cross-dialect row,candidate_execution_failed,candidate execution syntax/runtime failure,Candidate contained 't2'.'admemail1' and failed MySQL syntax at execution,SQLGlot noop emitted single-quoted identifier path as invalid MySQL syntax,Keep fail-visible; future SQLGlot PORT route design would need target-aware identifier handling
mysql,PERF_0062,PERF,same-engine non-PORT row,mismatch,checker mismatch / normalization gap candidate,Source and candidate values match positionally; labels differ by aggregate function case avg vs AVG,Checker compares expression column labels strictly for same-engine output,Narrow checker column-label policy triage only if desired; do not relax globally here
mysql,PORT_0003,PORT,PORT real-adapter cross-dialect row,mismatch,PORT real-adapter limitation / semantic mismatch,Candidate returned literal gsoffered while source reference returned north-max,SQLGlot noop emitted quoted identifier as string literal in target candidate,Keep fail-visible; separate from controlled PORT target-reference exact path
mysql,PORT_0004,PORT,same-engine PORT row,mismatch,checker mismatch / normalization gap candidate,Source and candidate both returned 50; expression column labels differ by whitespace/formatting,Checker compares generated expression labels strictly,Narrow checker column-label policy triage only if desired
mysql,PORT_0005,PORT,PORT real-adapter cross-dialect row,mismatch,PORT real-adapter limitation / semantic mismatch,Candidate returned literal nationality while source reference returned japan_earliest,SQLGlot noop emitted quoted identifier as string literal in target candidate,Keep fail-visible; separate from controlled PORT target-reference exact path
mysql,PORT_0012,PORT,PORT real-adapter cross-dialect row,mismatch,PORT real-adapter limitation / semantic mismatch,Candidate returned NULL while source reference returned 66.66666666666667,SQLGlot noop emitted quoted identifiers/literals producing a different target expression,Keep fail-visible; future SQLGlot PORT route design would need dialect-aware identifier handling
mysql,PORT_0013,PORT,same-engine PORT row,mismatch,checker mismatch / normalization gap candidate,Source and candidate both returned 66.66666666666667; expression labels differ by whitespace/formatting,Checker compares generated expression labels strictly,Narrow checker column-label policy triage only if desired
mysql,PORT_0022,PORT,same-engine PORT row,mismatch,checker mismatch / normalization gap candidate,Source and candidate both returned 0.25; expression labels differ by whitespace/formatting,Checker compares generated expression labels strictly,Narrow checker column-label policy triage only if desired
mysql,PORT_0024,PORT,same-engine PORT row,mismatch,checker mismatch / normalization gap candidate,Source and candidate both returned 50; expression labels differ by whitespace/formatting,Checker compares generated expression labels strictly,Narrow checker column-label policy triage only if desired
spark,PERF_0008,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PERF_0013,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PERF_0017,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PERF_0019,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PERF_0024,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PERF_0082,PERF,same-engine non-PORT row,candidate_execution_failed,candidate execution failure / preflight-backend investigation candidate,Candidate preflight passed but Spark execution rejected query as not exactly one statement,SQLGlot noop emitted comment-preserving candidate that Spark diagnostic statement handling rejected,Authorize narrow Spark statement/preflight investigation if desired
spark,PORT_0003,PORT,PORT real-adapter cross-dialect row,candidate_execution_failed,PORT real-adapter limitation / candidate runtime failure,Candidate used ABS('longitude') and Spark failed casting literal longitude to DOUBLE,SQLGlot noop emitted source-like quoted identifier as string literal for Spark target,Keep fail-visible; separate from controlled PORT target-reference exact path
spark,PORT_0013,PORT,PORT real-adapter cross-dialect row,candidate_execution_failed,PORT real-adapter limitation / candidate runtime failure,Spark rejected SUM(gender = F) because SUM requires numeric/interval input,SQLGlot noop emitted MySQL-style boolean aggregate not valid Spark target SQL,Keep fail-visible; future target-aware route design would be separate
spark,PORT_0004,PORT,PORT real-adapter cross-dialect row,mismatch,PORT real-adapter limitation / semantic mismatch,Candidate returned NULL while source reference returned 50,SQLGlot noop emitted target SQL with different Spark semantics for the date/format expression,Keep fail-visible; not a numeric normalization gap
spark,PORT_0005,PORT,PORT real-adapter cross-dialect row,mismatch,PORT real-adapter limitation / semantic mismatch,Candidate returned literal nationality while source reference returned japan_earliest,SQLGlot noop emitted quoted identifier as string literal in Spark target candidate,Keep fail-visible; separate from controlled PORT target-reference exact path
spark,PORT_0008,PORT,unsupported/fail-closed PORT row,unsupported_engine,expected unsupported/fail-closed,Manifest role says spark_target_reference_not_declared; no source target or checker fallback attempted,Spark target reference metadata unavailable by design,Keep fail-closed; no action unless Spark role evidence is later declared
