fixture_row_id,fixture_only,not_paper_evidence,record_id,record_type,case_id,pool,case_set,denominator_id,engine,source_engine,target_engine,rewrite_method,route,method_role,control_route,candidate_id,artifact_id,support_pair_id,generated,ready,executed,exact,timed,result_status,failure_stage,failure_type,parse_status,checker_status,plan_available,plan_artifact_path,latency_ms,speedup_ratio,timing_eligible,evidence_source,retained_artifact_path,status,na_reason,metric_eligible,support_only,notes
valid_extra_rewrite_timing_missing,true,true,fixture:hardening:rewrite:timing_missing,rewrite_candidate_cell,LONGTAIL_0012,LONGTAIL,common_core_v0,track_a_same_engine:LONGTAIL_0012:mysql,mysql,null,null,sqlglot,same_engine_rewrite,sqlglot,null,candidate:hardening:LONGTAIL_0012:mysql:timing_missing,null,null,true,true,true,true,false,timing_missing,timing,timing_missing,parsed,pass,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/valid_rewrite_timing_missing,N.A.,timing_missing,true,false,valid_extra_rewrite_timing_missing
valid_extra_portability_target_timing_missing,true,true,fixture:hardening:portability:target_timing_missing,portability_candidate_cell,PORT_0025,PORT,common_core_v0,null,spark,postgres,spark,portability_method,portability,portability_method,null,candidate:hardening:PORT_0025:spark:target_timing_missing,null,null,true,true,true,true,false,target_timing_missing,timing,target_timing_missing,parsed,pass,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/valid_portability_target_timing_missing,N.A.,target_timing_missing,true,false,valid_extra_portability_target_timing_missing
valid_extra_retained_summary_support_only,true,true,fixture:hardening:summary:support_only,retained_summary_artifact,null,null,common_core_v0,null,null,null,null,retained_legacy_reference,summary,retained_legacy_reference,null,null,artifact:hardening:summary:support_only,null,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,null,null,null,not_applicable,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/valid_summary_support_only,N.A.,not_applicable,false,true,valid_extra_retained_summary_support_only
invalid_extra_unknown_record_type,true,true,fixture:hardening:unknown_record_type,mystery_record_type,PERF_0006,PERF,common_core_v0,null,postgres,null,null,unknown_method,unknown_route,unknown_role,null,candidate:hardening:unknown_record_type,null,null,true,false,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_unknown_record_type,generated,blocked,true,false,intentionally_invalid_unknown_record_type
invalid_extra_duplicate_record_id,true,true,fixture:hardening:rewrite:timing_missing,rewrite_candidate_cell,PERF_0007,PERF,common_core_v0,track_a_same_engine:PERF_0007:mysql,mysql,null,null,sqlglot,same_engine_rewrite,sqlglot,null,candidate:hardening:PERF_0007:mysql:duplicate_record,null,null,true,true,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_duplicate_record_id,generated,blocked,true,false,intentionally_invalid_duplicate_record_id
invalid_extra_missing_fixture_only_flag,false,true,fixture:hardening:missing_fixture_only,rewrite_candidate_cell,PERF_0008,PERF,common_core_v0,track_a_same_engine:PERF_0008:postgres,postgres,null,null,direct_llm,same_engine_rewrite,direct_llm,null,candidate:hardening:PERF_0008:postgres:missing_fixture_flag,null,null,true,true,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_missing_fixture_only,generated,blocked,true,false,intentionally_invalid_missing_fixture_only_flag
invalid_extra_non_synthetic_evidence_source,true,true,fixture:hardening:non_synthetic_evidence_source,rewrite_candidate_cell,PERF_0013,PERF,common_core_v0,track_a_same_engine:PERF_0013:mysql,mysql,null,null,direct_llm,same_engine_rewrite,direct_llm,null,candidate:hardening:PERF_0013:mysql:non_synthetic,null,null,true,true,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,retained_artifact,audits/ledger_fixture_validator_hardening/synthetic/invalid_non_synthetic,generated,blocked,true,false,intentionally_invalid_non_synthetic_evidence_source
invalid_extra_paper_evidence_flag_true,true,false,fixture:hardening:paper_evidence_flag_true,rewrite_candidate_cell,PERF_0017,PERF,common_core_v0,track_a_same_engine:PERF_0017:spark,spark,null,null,direct_llm,same_engine_rewrite,direct_llm,null,candidate:hardening:PERF_0017:spark:paper_flag,null,null,true,true,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_paper_flag,generated,blocked,true,false,intentionally_invalid_paper_evidence_flag_true
invalid_extra_rewrite_missing_candidate_id,true,true,fixture:hardening:rewrite:missing_candidate_id,rewrite_candidate_cell,PERF_0019,PERF,common_core_v0,track_a_same_engine:PERF_0019:postgres,postgres,null,null,direct_llm,same_engine_rewrite,direct_llm,null,null,null,null,true,true,false,unknown,not_applicable,blocked,preflight,blocked,parsed,not_run,not_applicable,null,null,null,false,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_rewrite_missing_candidate,generated,blocked,true,false,intentionally_invalid_rewrite_candidate_cell_missing_candidate_id
invalid_extra_control_with_speedup_ratio,true,true,fixture:hardening:control:speedup_ratio,control_cell,PERF_0006,PERF,common_core_v0,control:PERF_0006:postgres:source,postgres,null,null,control,source,control,source,control:hardening:PERF_0006:postgres:source,null,null,not_applicable,true,true,true,not_applicable,pass,not_applicable,not_applicable,not_applicable,pass,not_applicable,null,null,1.05,not_applicable,synthetic_fixture,audits/ledger_fixture_validator_hardening/synthetic/invalid_control_speedup,exact,null,false,false,intentionally_invalid_control_cell_with_speedup_ratio
