condition,failure_bucket,execution_failure_class,source_status,candidate_status,backend_status,notes
mysql_client_missing,source_execution_failed,mysql_client_missing,source_backend_missing,not_enabled,client_missing,No SQL is executed.
mysql_config_missing,source_execution_failed,mysql_config_missing,source_backend_missing,not_enabled,config_missing,Required SQLRB_MYSQL_HOST/PORT/USER env is absent.
mysql_schema_assets_missing,source_execution_failed,mysql_schema_missing,source_backend_missing,not_enabled,schema_missing,No PostgreSQL schema assets are used as fallback.
mysql_connection_failed,source_execution_failed,mysql_connection_failed,source_backend_missing,not_enabled,connection_failed,Detected during schema setup.
mysql_schema_setup_failed,source_execution_failed,mysql_schema_setup_failed,source_execution_failed,not_enabled,available,DDL/load failed after backend was reachable.
mysql_source_execution_failed,source_execution_failed,mysql_source_execution_failed,source_execution_failed,not_enabled,available,Source query failed before candidate execution.
mysql_candidate_execution_failed,candidate_execution_failed,mysql_candidate_execution_failed,source_execution_success,candidate_execution_failed,available,Source artifact is retained for local diagnosis.
mysql_timeout,execution_timeout,mysql_timeout,timeout,timeout,available,Timeout is fail-closed.
mysql_internal_error,internal_runner_error,mysql_internal_error,internal_error,internal_error,available,Unexpected backend error is fail-closed.
mysql_same_engine_success,none,,source_execution_success,candidate_execution_success,available,Source and candidate artifacts are available for checker handoff.
