case_id,deleted_path,deletion_type,deletion_reason,replacement_or_policy,notes
PERF_0033,cases/PERF/PERF_0033/sql/positives,nested_sql_compatibility,direct sql/pos_01.sql created and referenced,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/sql/negatives,nested_sql_compatibility,direct sql/neg_01.sql created and referenced,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/schema/postgres,case_local_engine_schema,copied to external schema package and schema_ref updated,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/schema/mysql,case_local_engine_schema,copied to external schema package and schema_ref updated,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/schema/spark,case_local_engine_schema,copied to external schema package and schema_ref updated,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/evidence,static_case_evidence,regeneration-first evidence_policy adopted,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/metadata,legacy_metadata,stable metadata represented in manifest/project control sources,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/notes,legacy_notes,public README and manifest capture current clean v2 status,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/data,legacy_data_profile,source-as-oracle witness and external schema profile cover runtime policy,clean-template-minimal v2 / regeneration-first policy,deleted only within Wave B target case
PERF_0033,cases/PERF/PERF_0033/validation/run_postgres_validation.sh,legacy_engine_validation_script,v2 thin wrappers replace old engine-specific entrypoints,validation/run_validation.sh and validation/run_plan_collection.sh fail closed pending shared runner,old script no longer referenced by manifest/README/wrappers
PERF_0033,cases/PERF/PERF_0033/validation/run_mysql_validation.sh,legacy_engine_validation_script,v2 thin wrappers replace old engine-specific entrypoints,validation/run_validation.sh and validation/run_plan_collection.sh fail closed pending shared runner,old script no longer referenced by manifest/README/wrappers
PERF_0033,cases/PERF/PERF_0033/validation/run_spark_validation.sh,legacy_engine_validation_script,v2 thin wrappers replace old engine-specific entrypoints,validation/run_validation.sh and validation/run_plan_collection.sh fail closed pending shared runner,old script no longer referenced by manifest/README/wrappers
PERF_0033,cases/PERF/PERF_0033/validation/run_postgres_plan_collection.sh,legacy_engine_validation_script,v2 thin wrappers replace old engine-specific entrypoints,validation/run_validation.sh and validation/run_plan_collection.sh fail closed pending shared runner,old script no longer referenced by manifest/README/wrappers
PERF_0033,cases/PERF/PERF_0033/validation/run_mysql_plan_collection.sh,legacy_engine_validation_script,v2 thin wrappers replace old engine-specific entrypoints,validation/run_validation.sh and validation/run_plan_collection.sh fail closed pending shared runner,old script no longer referenced by manifest/README/wrappers
