"engine_result_field","ledger_field","current_support","future_support","failure_bucket_relation","owner_module","notes"
"engine","engine","existing_from_selection","direct copy from engine result validation","none","case_selection.py engine_execution.py","Must match selected row; no membership inference from cases directory."
"case_id","case_id","existing_from_selection","direct copy from engine result validation","none","case_selection.py engine_execution.py","Identity check only."
"pool","pool","existing_from_selection","direct copy from engine result validation","none","case_selection.py engine_execution.py","Identity check only."
"denominator_id","denominator_id","existing_from_selection","direct copy from engine result validation","none","case_selection.py engine_execution.py","Does not change denominator values."
"db_execution_attempted","execution_enabled","implicit from enable flag","explicit bool field may be added later","none","engine_execution.py user_ledger.py","Current ledger uses execution_enabled true when optional DB path is enabled."
"schema_setup_status","execution_failure_class","partial via schema_setup_failed failure class","explicit schema_setup_status field later","source_execution_failed when setup blocks source","engine-specific executor","Current PostgreSQL maps setup failure to source_execution_failed."
"source_execution_status","source_execution_status","present","direct from common result","source_execution_failed","engine-specific executor user_ledger.py","Used by quality summary and checker gating."
"candidate_execution_status","candidate_execution_status","present","direct from common result","candidate_execution_failed","engine-specific executor user_ledger.py","Used by quality summary and checker gating."
"source_result_path","source_result_path","present","direct from common result","none","engine-specific executor user_ledger.py","Required for checker when source succeeded."
"candidate_result_path","candidate_result_path","present","direct from common result","none","engine-specific executor user_ledger.py","Required for checker when candidate succeeded."
"source_error_path","notes","not explicit","future ledger field optional","source_execution_failed","engine-specific executor user_ledger.py","Can remain in notes for minimal router; explicit field is a future schema change."
"candidate_error_path","notes","not explicit","future ledger field optional","candidate_execution_failed","engine-specific executor user_ledger.py","Can remain in notes for minimal router; explicit field is a future schema change."
"execution_artifact_dir","db_artifact_dir","present","direct from common result","none","engine-specific executor user_ledger.py","Must stay under runs/user workspace."
"engine_version","notes","not present","future diagnostic field optional","none","engine-specific executor","Diagnostic only; not timing or official metric input."
"source_executable","source_execution_status","derivable","future bool optional","source_execution_failed when false after attempt","user_ledger.py","Do not invent success without source_execution_success."
"candidate_executable","candidate_execution_status","derivable","future bool optional","candidate_execution_failed when false after attempt","user_ledger.py","Do not invent success without candidate_execution_success."
"execution_failure_class","execution_failure_class","present","direct from common result","source_execution_failed candidate_execution_failed execution_timeout unsupported_engine internal_runner_error","engine-specific executor user_ledger.py","Failure bucket priority applies after candidate_preflight_failed and before checker_failed or mismatch."
"local_diagnostic_only","local_execution_only","present","direct from common result or invariant","none","user_ledger.py","Always true for user-entry local DB diagnostics."
"timing_status","timed_status","placeholder not_timed_non_db_mvp","future timing field only after authorization","none","timing_diagnostic.py","No timing or speedup in U7."
