case_id,engine,method_id,route_id,candidate_sha256,original_status,retry_status,merged_status,replaced_original_row,identity_checks_passed,notes
CONS_0005,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,5b35e99cd894f3ede08dbb29ded448640c057fc1ee3e112dc61f815108e0d6c2,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0011,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,a182fe8eb1e81687021644ec6bbf1e4acf9ac69c17b76f62962bf0b098cbe98e,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,53be35482a8ab7634b4762df5f233e147759f82f3ce22b58e9e80b308f66cccf,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PERF_0006,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,4da582fe46ca527d0e901d772dd2c97133950b2750c62ded95dfb33a2c71073b,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PORT_0003,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,27a2f7d084f6c631113cf81f59f226093ad28b06adb64feff8bb4aa464de62a1,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
CONS_0005,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,007bb252e0cbce5c7068f72b43c4929582420d7b3dc8b3748084cb39c9958444,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
LONGTAIL_0011,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,4c8191a3fdc40b29771b567a12b0272ba9663686f66f31efdd9d5517b7e826ef,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,ead7d4520f06b83baf7d798e6d7a83d6d71144387186ee1460bc826dda753e25,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PERF_0006,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,f3707ac2438756792cca9bd5badd445f24001ec2b173525135fbda00d7cccab8,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
PORT_0003,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,bf1b3e83ee8229e7c576f3e7e556bd7716adb07b07d3bbd5c6e1e2ea181ce529,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
