artifact_id,source_repo_path,relative_path,file_type,size_bytes,modified_time_if_available,category,common_core_related,pool_or_case_scope,method_or_route_if_inferable,denominator_scope_if_inferable,paper_facing_candidate,public_hygiene_risk,sensitive_risk,recommended_public_action,notes
legacy_report_artifact_00001,legacy:reports/artifact_release/case_package_contract_audit_v1.csv,reports/artifact_release/case_package_contract_audit_v1.csv,csv,28206,2026-05-13T23:48:52,paper_facing_retained_evidence,false,PORT,portability,not_inferable,true,false,false,summarize_in_public_report_later,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00002,legacy:reports/artifact_release/case_package_contract_audit_v1.md,reports/artifact_release/case_package_contract_audit_v1.md,md,17680,2026-05-13T23:48:52,paper_facing_retained_evidence,false,PORT,portability,not_inferable,true,false,false,summarize_in_public_report_later,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00003,legacy:reports/artifact_release/case_package_manifest_migration_plan_v1.csv,reports/artifact_release/case_package_manifest_migration_plan_v1.csv,csv,32688,2026-05-14T00:10:57,unknown_manual_review_required,false,PORT,portability,not_inferable,false,false,false,defer_manual_review,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00004,legacy:reports/artifact_release/case_package_manifest_release_schema_v1.md,reports/artifact_release/case_package_manifest_release_schema_v1.md,md,11072,2026-05-14T00:10:57,unknown_manual_review_required,false,PORT,portability,not_inferable,false,false,false,defer_manual_review,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00005,legacy:reports/curation/common_core_v0_40_artifact_preflight.csv,reports/curation/common_core_v0_40_artifact_preflight.csv,csv,40867,2026-05-13T23:38:41,method_output_retained_reference,true,PORT,portability,common_core_v0_40_or_related,true,false,false,copy_to_results_retained_later,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00006,legacy:reports/curation/common_core_v0_40_artifact_preflight.json,reports/curation/common_core_v0_40_artifact_preflight.json,json,103450,2026-05-13T23:38:41,method_output_retained_reference,true,PORT,portability,common_core_v0_40_or_related,true,false,false,copy_to_results_retained_later,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00007,legacy:reports/curation/common_core_v0_40_artifact_preflight.md,reports/curation/common_core_v0_40_artifact_preflight.md,md,16647,2026-05-13T23:38:41,method_output_retained_reference,true,PORT,portability,common_core_v0_40_or_related,true,false,false,copy_to_results_retained_later,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00008,legacy:reports/curation/common_core_v0_40_candidate_slate.csv,reports/curation/common_core_v0_40_candidate_slate.csv,csv,11374,2026-05-13T23:38:41,unknown_manual_review_required,true,PORT,portability,common_core_v0_40_or_related,false,false,false,defer_manual_review,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00009,legacy:reports/curation/common_core_v0_40_candidate_slate.md,reports/curation/common_core_v0_40_candidate_slate.md,md,11839,2026-05-13T23:38:41,unknown_manual_review_required,true,PORT,portability,common_core_v0_40_or_related,false,false,false,defer_manual_review,legacy results/ path absent in inspected snapshot
legacy_report_artifact_00010,legacy:reports/curation/common_core_v0_final_denominator.csv,reports/curation/common_core_v0_final_denominator.csv,csv,9173,2026-05-13T23:38:41,denominator_or_membership_reference,true,PORT,portability,common_core_v0_40_or_related,true,false,false,retain_by_reference_only,legacy results/ path absent in inspected snapshot
