case_id,path,path_type,exists,expected_state,gap_status,notes
PERF_0008,README.md,required_clean_v2_asset,yes,present,present,
PERF_0008,manifest.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,sql/source.sql,required_clean_v2_asset,yes,present,present,
PERF_0008,sql/pos_01.sql,required_clean_v2_asset,yes,present,present,
PERF_0008,sql/neg_01.sql,required_clean_v2_asset,yes,present,present,
PERF_0008,schema/schema_profile.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,checker/checker.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,checker/normalization.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,checker/compare_config.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,checker/expected_rejections.yaml,required_clean_v2_asset,yes,present,present,
PERF_0008,validation/run_validation.sh,required_clean_v2_asset,yes,present,present,
PERF_0008,validation/run_plan_collection.sh,required_clean_v2_asset,yes,present,present,
PERF_0008,evidence,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,runs,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,metadata,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,notes,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,data,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,schema/postgres,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,schema/mysql,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,schema/spark,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,sql/positives,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,sql/negatives,forbidden_case_local_compatibility_path,no,absent,absent_clean,Not part of clean-template-minimal v2 case surface.
PERF_0008,validation/run_postgres_validation.sh,old_engine_specific_validation_script,no,absent,absent_clean,V2 uses two thin wrappers only.
