path,source_kind,scan_scope,public_safe_as_is,local_path_risk,prompt_api_token_risk,log_debug_risk,temporary_path_risk,needs_sanitization,proposed_action,notes
cases/LONGTAIL/LONGTAIL_0011/README.md,legacy_file,root,true,false,false,false,false,false,copy_or_generate_public_readme,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/manifest.yaml,legacy_file,root,true,false,false,false,false,false,generate_canonical_manifest,"Legacy manifest is public-safe as source but should not be final canonical manifest."
cases/LONGTAIL/LONGTAIL_0011/source.sql,legacy_file,sql,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/rewrite_pos_01.sql,legacy_file,sql,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/rewrite_neg_01.sql,legacy_file,sql,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/schema/ddl_pg.sql,legacy_file,schema,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/schema/ddl_mysql.sql,legacy_file,schema,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/schema/ddl_spark.sql,legacy_file,schema,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/pg_witness_data.sql,legacy_file,witness,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/mysql_witness_data.sql,legacy_file,witness,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/spark_witness_data.sql,legacy_file,witness,true,false,false,false,false,false,copy_and_rename,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/run_pg_validation.sh,legacy_file,validation,true,false,false,false,false,false,copy_and_rename_with_caveat,"Writes to case-local runs; caveat required but no blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/run_mysql_validation.sh,legacy_file,validation,true,false,false,false,false,false,copy_as_is_with_caveat,"Writes to case-local runs; caveat required but no blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/run_spark_validation.sh,legacy_file,validation,false,true,false,false,false,true,adapt_comment_and_caveat,"Contains WSL-local wording in comment; adapt to neutral wording before public package."
cases/LONGTAIL/LONGTAIL_0011/validation/run_pg_plan_collection.sh,legacy_file,validation,true,false,false,false,false,false,copy_and_rename_with_caveat,"Writes to case-local runs; caveat required but no blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/run_mysql_plan_collection.sh,legacy_file,validation,true,false,false,false,false,false,copy_as_is_with_caveat,"Writes to case-local runs; caveat required but no blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/validation/run_spark_plan_collection.sh,legacy_file,validation,false,true,false,false,false,true,adapt_comment_and_caveat,"Contains WSL-local wording in comment; adapt to neutral wording before public package."
cases/LONGTAIL/LONGTAIL_0011/risk_notes.md,legacy_file,notes,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/witness_design_notes.md,legacy_file,notes,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/schema_notes.md,legacy_file,notes,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/promotion_checklist.md,legacy_file,notes,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/result_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/source.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/rewrite_pos_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/rewrite_neg_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/result_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/source.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/rewrite_pos_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/rewrite_neg_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/result_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/source.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/rewrite_pos_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/rewrite_neg_01.tsv,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/plans/plan_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/plans/source.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/plans/rewrite_pos_01.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/pg/plans/rewrite_neg_01.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/plans/plan_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/plans/source.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/plans/rewrite_pos_01.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/mysql/plans/rewrite_neg_01.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/plans/plan_check.json,legacy_file,evidence,true,false,false,false,false,false,copy_as_is,"No blocked hygiene pattern found."
cases/LONGTAIL/LONGTAIL_0011/runs/spark/plans/source.txt,legacy_file,evidence,false,true,false,false,true,true,sanitize_before_public_copy,"Contains file:/tmp local temporary Spark path traces; do not publish raw."
