metric_name,metric_family,current_state,evidence_available,implementation_available,official_output_available,paper_renderer_ready,denominator_scope,blocker,required_next_action,recommended_v0_treatment,notes
Generation Rate,Coverage,blocked_needs_policy_or_evidence,audit-only inferred_generated overlay and dry-run context exist; observed generated evidence remains incomplete for SQLGlot and inferred_generated is not official,no official implementation; blocked rows emitted in official_status_metrics_v0_limited,false,false,Track A same-engine planned candidate rows by method/pool/engine,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Decide whether to keep blocked; collect observed SQLGlot generated/ready evidence; or create diagnostic readiness table,report_as_blocked,Official Generation Rate was explicitly not computed.
Execution Coverage Rate,Coverage,official_computed_v0,authorized normalized executed evidence exists for limited official input set,limited official status metric implementation exists,true,false,Track A same-engine planned candidate rows by method/pool/engine,renderer not authorized and unresolved/unauthorized rows must remain visible,Carry forward only through separately authorized renderer with denominator caveats,include_official_limited,Computed in official_status_metrics_v0_limited with 600 planned rows and 175 authorized inputs.
Result Consistency Rate,Correctness,official_computed_v0,authorized normalized exact evidence exists for limited official input set,limited official status metric implementation exists,true,false,limited task-authorized planned-denominator visibility model by method/pool/engine,renderer not authorized and denominator model must be explicit,Carry forward only through separately authorized renderer with caveats,include_official_limited,Computed in official_status_metrics_v0_limited with 600 planned rows and 175 authorized inputs.
Semantic Equivalence Rate,Correctness,blocked_needs_policy_or_evidence,verifier support is policy-designed but no verifier_support_pair adapter or decidability ledger exists,no implementation,false,false,verifier-decidable result-consistent candidate subset,verifier support adapter absent; decidability policy and denominator unavailable,Run semantic-equivalence/verifier support closure to mark N.A. or defer before renderer planning,report_as_blocked,Do not overclaim semantic equivalence from result consistency.
GM_Speedup,Performance,blocked_needs_policy_or_evidence,timing raw artifacts are inventoried but not public-safe or eligibility-normalized,no timing adapter or performance metric implementation,false,false,result-consistent timed candidate cases,timing adapter absent; timing eligibility and speedup interpretation unavailable,Run timing/performance feasibility closure and likely mark N.A. for v0,report_as_blocked,Missing timing is not zero and performance applies only to exact timed rows.
Speedup Ratio Percentiles,Performance,blocked_needs_policy_or_evidence,timing raw artifacts are inventoried but not public-safe or eligibility-normalized,no timing adapter or percentile implementation,false,false,result-consistent timed candidate cases,timing adapter absent; percentile renderer and timing eligibility unavailable,Bundle with timing/performance feasibility closure and likely mark N.A. for v0,report_as_blocked,Must not compute percentiles from unvalidated timing artifacts.
Attribution Coverage,Explainability,post_release_backlog,attribution policy draft exists and plan/control/verifier evidence may later support it,no attribution schema or adapter implementation,false,false,attribution-eligible denominator not defined,attribution schema; eligibility denominator; plan/verifier support pipeline absent,Defer to post-release attribution pilot after renderer and core metrics closure,defer_post_release,Do not overclaim explainability from plan availability or LLM notes.
Cross-Engine Execution,Generalization,post_release_backlog,PORT retained evidence mapping exists but no portability_candidate_cell adapter or approved portability denominator exists,no cross-engine adapter implementation,false,false,separate portability denominator not Track A same-engine,portability denominator and row-grain validation absent,Close as post-release unless maintainer authorizes a bounded portability packet adapter,defer_post_release,Must not mix with Track A same-engine denominator.
Cross-Engine Consistency,Generalization,post_release_backlog,PORT retained evidence mapping exists but no cross-engine checker policy or portability ledger exists,no cross-engine adapter implementation,false,false,executed cross-engine candidate cases or approved portability denominator,cross-engine checker policy and portability adapter absent,Close as post-release unless portability packet adapter is separately authorized,defer_post_release,Same-engine Result Consistency does not substitute for cross-engine consistency.
Speedup Retention,Generalization,not_applicable_v0,paired source/target timing evidence is not validated and target timing may be missing,no paired portability timing implementation,false,false,paired source/target result-consistent timed portability rows,paired target timing and speedup retention protocol unavailable,Report N.A. for v0 and defer until portability plus timing adapters exist,report_as_NA,Speedup retention cannot be computed without paired timing.
