annotation_run_id,case_id,engine,method_id,route_id,provider_label,model_label,call_status,token counts if available,error_type if any,api_key_value_recorded
pocr_annotation_tri_engine_pilot_repair1_postgres_v0,CONS_0005,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,malformed_json,,JSONDecodeError,false
pocr_annotation_tri_engine_pilot_repair1_postgres_v0,LONGTAIL_0011,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 807, ""prompt_tokens"": 2118, ""total_tokens"": 2925}",,false
pocr_annotation_tri_engine_pilot_repair1_postgres_v0,LONGTAIL_0022,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 763, ""prompt_tokens"": 1930, ""total_tokens"": 2693}",,false
pocr_annotation_tri_engine_pilot_repair1_postgres_v0,PERF_0006,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,malformed_json,,JSONDecodeError,false
pocr_annotation_tri_engine_pilot_repair1_postgres_v0,PORT_0003,postgres,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,malformed_json,,JSONDecodeError,false
pocr_annotation_tri_engine_pilot_repair1_mysql_v0,CONS_0005,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 704, ""prompt_tokens"": 1544, ""total_tokens"": 2248}",,false
pocr_annotation_tri_engine_pilot_repair1_mysql_v0,LONGTAIL_0011,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 802, ""prompt_tokens"": 2113, ""total_tokens"": 2915}",,false
pocr_annotation_tri_engine_pilot_repair1_mysql_v0,LONGTAIL_0022,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 844, ""prompt_tokens"": 1938, ""total_tokens"": 2782}",,false
pocr_annotation_tri_engine_pilot_repair1_mysql_v0,PERF_0006,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 879, ""prompt_tokens"": 2220, ""total_tokens"": 3099}",,false
pocr_annotation_tri_engine_pilot_repair1_mysql_v0,PORT_0003,mysql,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 528, ""prompt_tokens"": 1533, ""total_tokens"": 2061}",,false
pocr_annotation_tri_engine_pilot_repair1_spark_v0,CONS_0005,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,openai_compatible,gpt-5.4,schema_valid,"{""completion_tokens"": 756, ""prompt_tokens"": 1545, ""total_tokens"": 2301}",,false
