case_id,relative_path,public_release_path,source_kind,source_legacy_path_or_generated_from,size_bytes,sha256_public_copy,sha256_source_if_applicable,sha256_matches_source_if_applicable,category,canonical_section,public_hygiene_scan_ok,evidence_role,notes
PERF_0052,sql/source.sql,cases/PERF/PERF_0052/sql/source.sql,legacy_file,cases/PERF/PERF_0052/source.sql,898,c7d742cfda6dc04194e4e83eddfe68132023c009e0e67713e0250048a195498b,c7d742cfda6dc04194e4e83eddfe68132023c009e0e67713e0250048a195498b,True,sql,sql,True,source_sql,copied byte-for-byte from legacy source
PERF_0052,sql/positives/pos_01.sql,cases/PERF/PERF_0052/sql/positives/pos_01.sql,legacy_file,cases/PERF/PERF_0052/rewrite_pos_01.sql,910,9540cdee657e2c45e707df82435be24d3e25da7ea67b65f1447b3b1a5d16f34f,9540cdee657e2c45e707df82435be24d3e25da7ea67b65f1447b3b1a5d16f34f,True,sql,sql,True,positive_rewrite,copied byte-for-byte from legacy source
PERF_0052,sql/negatives/neg_01.sql,cases/PERF/PERF_0052/sql/negatives/neg_01.sql,legacy_file,cases/PERF/PERF_0052/rewrite_neg_01.sql,908,fc5722409566b1f866b4b257edf54987dd90b9a9be937c268cdbc756834f0bbb,fc5722409566b1f866b4b257edf54987dd90b9a9be937c268cdbc756834f0bbb,True,sql,sql,True,hard_negative,copied byte-for-byte from legacy source
PERF_0052,schema/postgres/ddl.sql,cases/PERF/PERF_0052/schema/postgres/ddl.sql,legacy_file,cases/PERF/PERF_0052/schema/ddl_pg.sql,328,5f5d2c287d09c532bab86b18baa80d2d0119199805c2393ad759b4cd6d5d27a0,5f5d2c287d09c532bab86b18baa80d2d0119199805c2393ad759b4cd6d5d27a0,True,schema_data_context,schema,True,postgres_schema_context,copied byte-for-byte from legacy source
PERF_0052,schema/mysql/ddl.sql,cases/PERF/PERF_0052/schema/mysql/ddl.sql,legacy_file,cases/PERF/PERF_0052/schema/ddl_mysql.sql,494,820f73bc928ec285a56aa5799ee177ef2499f80cb6ee6f63772201a64c036193,820f73bc928ec285a56aa5799ee177ef2499f80cb6ee6f63772201a64c036193,True,schema_data_context,schema,True,mysql_schema_context,copied byte-for-byte from legacy source
PERF_0052,schema/spark/ddl.sql,cases/PERF/PERF_0052/schema/spark/ddl.sql,legacy_file,cases/PERF/PERF_0052/schema/ddl_spark.sql,381,9e7f8eacb421eb8269b58d0b2e70b4b1c3f28118bcaa56327fad48423b75ad69,9e7f8eacb421eb8269b58d0b2e70b4b1c3f28118bcaa56327fad48423b75ad69,True,schema_data_context,schema,True,spark_schema_context,copied byte-for-byte from legacy source
PERF_0052,schema/postgres/load.sql,cases/PERF/PERF_0052/schema/postgres/load.sql,legacy_file,cases/PERF/PERF_0052/validation/pg_witness_data.sql,218,6d0b986ea78d472ff1ca57ecfff72e64625f14bdb32de7cdfce679e02176a4e0,6d0b986ea78d472ff1ca57ecfff72e64625f14bdb32de7cdfce679e02176a4e0,True,schema_data_context,schema,True,postgres_witness_load,copied byte-for-byte from legacy source
PERF_0052,schema/mysql/load.sql,cases/PERF/PERF_0052/schema/mysql/load.sql,legacy_file,cases/PERF/PERF_0052/validation/mysql_witness_data.sql,408,7e3048be69cc7fa5ebbc2370946f9991bc62889570c36a4130fec6e48863746d,7e3048be69cc7fa5ebbc2370946f9991bc62889570c36a4130fec6e48863746d,True,schema_data_context,schema,True,mysql_witness_load,copied byte-for-byte from legacy source
PERF_0052,schema/spark/load.sql,cases/PERF/PERF_0052/schema/spark/load.sql,legacy_file,cases/PERF/PERF_0052/validation/spark_witness_data.sql,420,4746fc35741952ce64ec8adcde773e13dff3121b64338e6a11a8c3b830d478a3,4746fc35741952ce64ec8adcde773e13dff3121b64338e6a11a8c3b830d478a3,True,schema_data_context,schema,True,spark_witness_load,copied byte-for-byte from legacy source
PERF_0052,schema/schema_profile.yaml,cases/PERF/PERF_0052/schema/schema_profile.yaml,generated,legacy schema/load summary,607,d6ef28280d85b2bb03c6752105fed9a8302163d7f0487e153898d48574a613ab,,not_applicable,profile,schema,True,schema_profile,generated canonical metadata or summary
