case_id,pool,engine,planned_pocr_eligible,candidate_bound,annotation_status,route_mismatch,candidate_mismatch,expected_operation_atoms,stage_b_supported_operation_atoms,presence_only_operation_atoms,insufficient_transformation_evidence_atoms,rejected_noop_equivalent_atoms,oc_i,included_in_pocr_planned,included_in_pocr_candidate,fail_closed_status,source_artifact_path,notes
PERF_0006,PERF,postgres,true,true,schema_valid,false,false,3,0,0,3,0,0.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0007,PERF,postgres,true,true,schema_valid,false,false,3,0,0,3,0,0.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0008,PERF,postgres,true,true,schema_valid,false,false,3,1,0,2,0,0.333333333333,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0013,PERF,postgres,true,true,schema_valid,false,false,3,3,0,0,0,1.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0017,PERF,postgres,true,true,schema_valid,false,false,3,3,0,0,0,1.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0019,PERF,postgres,true,true,schema_valid,false,false,3,3,0,0,0,1.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0024,PERF,postgres,true,true,schema_valid,false,false,3,2,1,0,0,0.666666666667,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0033,PERF,postgres,true,true,schema_valid,false,false,3,0,0,3,0,0.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0034,PERF,postgres,true,true,schema_valid,false,false,3,1,0,2,0,0.333333333333,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0035,PERF,postgres,true,true,schema_valid,false,false,3,1,0,2,0,0.333333333333,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
PERF_0052,PERF,postgres,true,true,schema_valid,false,false,3,3,0,0,0,1.000000000000,true,true,none,/tmp/sqlrb_pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/output/results/pocr_user_replay_direct_llm_repair1_pg40_targeted_retry_v0/pocr/diagnostic_rows.csv,diagnostic macro dry-run only; official_pocr_computed=false
