case_id,provider_label,model_label,call_timestamp_utc,call_status,error_type,token_counts_if_available,api_key_env_name,api_key_value_recorded,notes
CONS_0005,openai_compatible,gpt-5.4,2026-05-26T12:59:38.551401+00:00,schema_valid,,"{""completion_tokens"": 785, ""prompt_tokens"": 1540, ""total_tokens"": 2325}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0007,openai_compatible,gpt-5.4,2026-05-26T12:59:39.364377+00:00,schema_valid,,"{""completion_tokens"": 785, ""prompt_tokens"": 1573, ""total_tokens"": 2358}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0009,openai_compatible,gpt-5.4,2026-05-26T12:59:57.799220+00:00,schema_valid,,"{""completion_tokens"": 1056, ""prompt_tokens"": 1890, ""total_tokens"": 2946}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0010,openai_compatible,gpt-5.4,2026-05-26T13:00:18.747913+00:00,schema_valid,,"{""completion_tokens"": 679, ""prompt_tokens"": 1531, ""total_tokens"": 2210}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0011,openai_compatible,gpt-5.4,2026-05-26T13:00:33.033586+00:00,schema_valid,,"{""completion_tokens"": 658, ""prompt_tokens"": 1488, ""total_tokens"": 2146}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0012,openai_compatible,gpt-5.4,2026-05-26T13:00:47.132968+00:00,schema_valid,,"{""completion_tokens"": 551, ""prompt_tokens"": 1437, ""total_tokens"": 1988}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0024,openai_compatible,gpt-5.4,2026-05-26T13:00:59.384375+00:00,schema_valid,,"{""completion_tokens"": 522, ""prompt_tokens"": 1490, ""total_tokens"": 2012}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0036,openai_compatible,gpt-5.4,2026-05-26T13:01:10.871930+00:00,schema_valid,,"{""completion_tokens"": 653, ""prompt_tokens"": 1343, ""total_tokens"": 1996}",SQLRB_LLM_API_KEY,false,schema_valid
CONS_0037,openai_compatible,gpt-5.4,2026-05-26T13:01:24.537674+00:00,schema_valid,,"{""completion_tokens"": 446, ""prompt_tokens"": 1418, ""total_tokens"": 1864}",SQLRB_LLM_API_KEY,false,schema_valid
LONGTAIL_0011,openai_compatible,gpt-5.4,2026-05-26T13:03:32.604753+00:00,schema_valid,,"{""completion_tokens"": 757, ""prompt_tokens"": 2114, ""total_tokens"": 2871}",SQLRB_LLM_API_KEY,false,schema_valid
LONGTAIL_0012,openai_compatible,gpt-5.4,2026-05-26T13:03:49.769684+00:00,malformed_json,JSONDecodeError,,SQLRB_LLM_API_KEY,false,provider response was malformed JSON; fail-closed diagnostic row
LONGTAIL_0013,openai_compatible,gpt-5.4,2026-05-26T13:04:08.862452+00:00,schema_valid,,"{""completion_tokens"": 821, ""prompt_tokens"": 3155, ""total_tokens"": 3976}",SQLRB_LLM_API_KEY,false,schema_valid
LONGTAIL_0022,openai_compatible,gpt-5.4,2026-05-26T13:04:25.785789+00:00,schema_valid,,"{""completion_tokens"": 782, ""prompt_tokens"": 1926, ""total_tokens"": 2708}",SQLRB_LLM_API_KEY,false,schema_valid
LONGTAIL_0023,openai_compatible,gpt-5.4,2026-05-26T13:04:41.883394+00:00,schema_valid,,"{""completion_tokens"": 1033, ""prompt_tokens"": 2150, ""total_tokens"": 3183}",SQLRB_LLM_API_KEY,false,schema_valid
