check_name,command_or_method,status,result,notes
"module_help","PYTHONPATH=src python -m sql_rewrite_bench.user_run --help","passed","returncode 0","CLI help still exposes current options."
"wrapper_help","python scripts/user/run_user_benchmark.py --help","passed","returncode 0","Wrapper unchanged."
"public_smoke_dry_run","PYTHONPATH=src python -m sql_rewrite_bench.user_run --case-set common_core_v0 --engine postgres --smoke --adapter-command ""python examples/user/noop_adapter.py"" --out runs/user/u2_split_dry_run --dry-run","passed","selected_rows=2; candidate_generated_rows=0","Non-DB dry-run smoke remained unchanged."
"public_smoke_adapter_capture","PYTHONPATH=src python -m sql_rewrite_bench.user_run --case-set common_core_v0 --engine postgres --smoke --adapter-command ""python examples/user/noop_adapter.py"" --out runs/user/u2_split_dummy_adapter","passed","selected_rows=2; candidate_generated_rows=2","Adapter capture smoke remained unchanged."
"user_entry_tests","PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src pytest tests/user_entry -q","passed","39 passed; 1 skipped","Includes new U2 module split tests."
"run_output_cleanup","rm -rf runs/user/u2_split_dry_run runs/user/u2_split_dummy_adapter","passed","required smoke outputs removed","No U2 smoke outputs committed."
"candidate_preflight","inspection","not_implemented","out of scope","No preflight fields or module added."
"quality_report","inspection","not_implemented","out of scope","No quality_summary.json or quality_report.md implementation added."
"tag_slicing","inspection","not_implemented","out of scope","No tag_slices.py implementation added."
"timing","inspection","not_implemented","out of scope","No timing diagnostics added."
"official_metrics","inspection","not_computed","out of scope","No metrics computation added."
"reports_results","inspection","unchanged","out of scope","No reports/results updates."
"global_leaderboard","inspection","not_created","out of scope","No leaderboard output."
