case_id,file_or_directory,action,old_path,new_path,status,notes
PERF_0006,branch,create,,feature/case-package-v2-external-schema,complete,"Pilot work performed on branch only; main not modified."
PERF_0006,README.md,update,cases/PERF/PERF_0006/README.md,cases/PERF/PERF_0006/README.md,complete,"README documents v2 direct SQL paths, external schema_ref, witness, and runs boundary."
PERF_0006,manifest.yaml,update,cases/PERF/PERF_0006/manifest.yaml,cases/PERF/PERF_0006/manifest.yaml,complete,"Manifest now includes case_package_standard, direct SQL paths, witness, validation wrappers, and schema_ref."
PERF_0006,sql positive,copy,cases/PERF/PERF_0006/sql/positives/pos_01.sql,cases/PERF/PERF_0006/sql/pos_01.sql,complete,"Legacy positives directory retained."
PERF_0006,sql negative,copy,cases/PERF/PERF_0006/sql/negatives/neg_01.sql,cases/PERF/PERF_0006/sql/neg_01.sql,complete,"Legacy negatives directory retained."
PERF_0006,checker.yaml,update,cases/PERF/PERF_0006/checker/checker.yaml,cases/PERF/PERF_0006/checker/checker.yaml,complete,"Checker input paths updated to direct v2 SQL paths with legacy compatibility paths retained."
PERF_0006,expected_rejections.yaml,update,cases/PERF/PERF_0006/checker/expected_rejections.yaml,cases/PERF/PERF_0006/checker/expected_rejections.yaml,complete,"Negative SQL path updated to sql/neg_01.sql with legacy compatibility path retained."
PERF_0006,witness directory,create,,cases/PERF/PERF_0006/witness/,complete,"New v2 witness directory created."
PERF_0006,witness data profile,create,,cases/PERF/PERF_0006/witness/data_profile.yaml,complete,"Static profile derived from existing data and witness metadata; no DB run."
PERF_0006,witness correct result,create,,cases/PERF/PERF_0006/witness/correct_result.csv,complete,"Static CSV derived from retained PostgreSQL source reference TSV; no DB run."
PERF_0006,validation wrapper,create,,cases/PERF/PERF_0006/validation/run_validation.sh,complete,"Wrapper documents disabled DB execution during branch pilot."
PERF_0006,plan wrapper,create,,cases/PERF/PERF_0006/validation/run_plan_collection.sh,complete,"Wrapper documents disabled plan collection during branch pilot."
PERF_0006,external schema profile,create,,schemas/tpch_common_core_v0/schema_profile.yaml,complete,"Reusable external schema profile created."
PERF_0006,postgres schema,copy,cases/PERF/PERF_0006/schema/postgres/,schemas/tpch_common_core_v0/postgres/,complete,"DDL/load copied; old case-local schema not deleted."
PERF_0006,mysql schema,copy,cases/PERF/PERF_0006/schema/mysql/,schemas/tpch_common_core_v0/mysql/,complete,"DDL/load copied; old case-local schema not deleted."
PERF_0006,spark schema,copy,cases/PERF/PERF_0006/schema/spark/,schemas/tpch_common_core_v0/spark/,complete,"DDL/load copied; old case-local schema not deleted."
PERF_0006,case-local schema profile,update,cases/PERF/PERF_0006/schema/schema_profile.yaml,cases/PERF/PERF_0006/schema/schema_profile.yaml,complete,"Marked as retained compatibility copy pointing to external schema_ref."
PERF_0006,runs directory,retain,cases/PERF/PERF_0006/runs/,cases/PERF/PERF_0006/runs/,complete,"No deletion and no new run output written."
